Username,OrganizationId,PositionName,StartDate,EndDate
1813139,59420,Signatory,09/19/2024,
1797014,46355,Signatory,09/19/2024,
1872918,123132,Signatory,09/19/2024,
1662605,361536,Signatory,09/19/2024,
1662605,46301,Signatory,09/19/2024,
1819318,91424,Signatory,09/19/2024,
1763010,232271,Signatory,09/19/2024,
1770261,59417,Signatory,09/19/2024,
1763459,157733,Signatory,09/19/2024,
1763459,122285,Signatory,09/19/2024,
1763459,361433,Signatory,09/19/2024,
1769483,46147,Signatory,09/19/2024,
1769483,46575,Signatory,09/19/2024,
1853166,46346,Signatory,09/19/2024,
1853166,46313,Signatory,09/19/2024,
1853166,46333,Signatory,09/19/2024,
1866627,377274,Signatory,09/19/2024,
1813269,368929,Signatory,09/19/2024,
1865394,186888,Signatory,09/19/2024,
1872590,385095,Signatory,09/19/2024,
1663323,46612,Signatory,09/19/2024,
1864072,66098,Signatory,09/19/2024,
1579722,361536,Signatory,09/19/2024,
1858934,91330,Signatory,09/19/2024,
1770728,45863,Signatory,09/19/2024,
1850019,46346,Signatory,09/19/2024,
1850019,361536,Signatory,09/19/2024,
1850019,46313,Signatory,09/19/2024,
1760613,159392,Signatory,09/19/2024,
1885248,186888,Signatory,09/19/2024,
1815370,186888,Signatory,09/19/2024,
1821747,378172,Signatory,09/19/2024,
1888970,361222,Signatory,09/19/2024,
1764966,135400,Signatory,09/19/2024,
1810287,378174,Signatory,09/19/2024,
1766802,378404,Signatory,09/19/2024,
1808260,160451,Signatory,09/19/2024,
1808260,46303,Signatory,09/19/2024,
1893744,368435,Signatory,09/19/2024,
1760752,91423,Signatory,09/19/2024,
1818937,46563,Signatory,09/19/2024,
1818937,91882,Signatory,09/19/2024,
1825386,385044,Signatory,09/19/2024,
1825386,342892,Signatory,09/19/2024,
1710388,45987,Signatory,09/19/2024,
1872583,219266,Signatory,09/19/2024,
1814187,303907,Signatory,09/19/2024,
1816562,46563,Signatory,09/19/2024,
1759730,351417,Signatory,09/19/2024,
1751571,91771,Signatory,09/19/2024,
1766168,303907,Signatory,09/19/2024,
1869619,46731,Signatory,09/19/2024,
1813717,46563,Signatory,09/19/2024,
1872104,56135,Signatory,09/19/2024,
1771608,46154,Signatory,09/19/2024,
1856878,46303,Signatory,09/19/2024,
1756000,145707,Signatory,09/19/2024,
1881262,91663,Signatory,09/19/2024,
1816917,46690,Signatory,09/19/2024,
1816917,368435,Signatory,09/19/2024,
1811476,219820,Signatory,09/19/2024,
1829222,46563,Signatory,09/19/2024,
1852003,91347,Signatory,09/19/2024,
1760174,303907,Signatory,09/19/2024,
1867240,368435,Signatory,09/19/2024,
1767493,351500,Signatory,09/19/2024,
1767493,368511,Signatory,09/19/2024,
1763026,91838,Signatory,09/19/2024,
1868820,186888,Signatory,09/19/2024,
1812531,46212,Signatory,09/19/2024,
1812531,324164,Signatory,09/19/2024,
1812531,117789,Signatory,09/19/2024,
1820124,60055,Signatory,09/19/2024,
1710006,82580,Signatory,09/19/2024,
1813121,46093,Signatory,09/19/2024,
1771805,46704,Signatory,09/19/2024,
1872494,123132,Signatory,09/19/2024,
1871408,46009,Signatory,09/19/2024,
1818734,45907,Signatory,09/19/2024,
1769544,56135,Signatory,09/19/2024,
1771045,63025,Signatory,09/19/2024,
1771045,302876,Signatory,09/19/2024,
1771045,46602,Signatory,09/19/2024,
1760924,160637,Signatory,09/19/2024,
1801944,303905,Signatory,09/19/2024,
1812782,91283,Signatory,09/19/2024,
1818292,45928,Signatory,09/19/2024,
1817441,46448,Signatory,09/19/2024,
1817441,145707,Signatory,09/19/2024,
1817441,45927,Signatory,09/19/2024,
1854530,46398,Signatory,09/19/2024,
1854530,70474,Signatory,09/19/2024,
1760498,76136,Signatory,09/19/2024,
1760498,46583,Signatory,09/19/2024,
1066184,46303,Signatory,09/19/2024,
1767878,368435,Signatory,09/19/2024,
