Username,OrganizationId,PositionName,StartDate,EndDate
1750992,46074,Signatory,09/19/2024,
1750992,91786,Signatory,09/19/2024,
1503393,46308,Signatory,09/19/2024,
1503393,46735,Signatory,09/19/2024,
1503393,91290,Signatory,09/19/2024,
1503393,324685,Signatory,09/19/2024,
1760915,46729,Signatory,09/19/2024,
1851286,91487,Signatory,09/19/2024,
1808920,45960,Signatory,09/19/2024,
1811256,56687,Signatory,09/19/2024,
1851317,91487,Signatory,09/19/2024,
1862355,334366,Signatory,09/19/2024,
1820000,290145,Signatory,09/19/2024,
1795165,115354,Signatory,09/19/2024,
1795165,52411,Signatory,09/19/2024,
1795165,135676,Signatory,09/19/2024,
1751673,343546,Signatory,09/19/2024,
1809932,235072,Signatory,09/19/2024,
1734177,320214,Signatory,09/19/2024,
1752121,232271,Signatory,09/19/2024,
1752121,85562,Signatory,09/19/2024,
1765184,377195,Signatory,09/19/2024,
1765427,46669,Signatory,09/19/2024,
1809169,334366,Signatory,09/19/2024,
1809169,301872,Signatory,09/19/2024,
1809169,158361,Signatory,09/19/2024,
1809169,46156,Signatory,09/19/2024,
1095317,46394,Signatory,09/19/2024,
1851967,91938,Signatory,09/19/2024,
1851967,45957,Signatory,09/19/2024,
1694872,46308,Signatory,09/19/2024,
1766545,92019,Signatory,09/19/2024,
1817839,117506,Signatory,09/19/2024,
1817839,60610,Signatory,09/19/2024,
1881285,378430,Signatory,09/19/2024,
1881285,361940,Signatory,09/19/2024,
1833178,45930,Signatory,09/19/2024,
1864661,219691,Signatory,09/19/2024,
1760630,342064,Signatory,09/19/2024,
1816745,385103,Signatory,09/19/2024,
1762922,187516,Signatory,09/19/2024,
1762922,232039,Signatory,09/19/2024,
1883453,91246,Signatory,09/19/2024,
1869907,56944,Signatory,09/19/2024,
1816297,368347,Signatory,09/19/2024,
1765438,368914,Signatory,09/19/2024,
1093225,144583,Signatory,09/19/2024,
1821696,139269,Signatory,09/19/2024,
1869269,165797,Signatory,09/19/2024,
1869269,378399,Signatory,09/19/2024,
1814560,223314,Signatory,09/19/2024,
1758980,56571,Signatory,09/19/2024,
1758980,158361,Signatory,09/19/2024,
1758980,360310,Signatory,09/19/2024,
1764456,160137,Signatory,09/19/2024,
1861896,221473,Signatory,09/19/2024,
1801045,46098,Signatory,09/19/2024,
1809307,46054,Signatory,09/19/2024,
1806815,322283,Signatory,09/19/2024,
1768429,218933,Signatory,09/19/2024,
1860528,46383,Signatory,09/19/2024,
